t,p,v,theta,omega,u,v_command,solve_ms,qp_ms
41.0,0.04282140732003363,0.0052194943317086,0.0017634735101061294,0.0014453944937446034,0.012104291371430438,0.1,6.266600001254119,6.111099999543512
41.2,0.04409566171381165,0.007469361429507875,0.0019886542000789775,0.0011546379596352845,0.01392476268283877,0.1,6.234599999515922,6.105300000854186
41.400000000000006,0.0458412297640418,0.00994414310994057,0.0021655499902397115,0.0008878764111113525,0.01536845410570886,0.1,6.039600000804057,5.8963999999832595
41.6,0.04809771256968491,0.012588891519385158,0.002298899012509175,0.0006518283724954756,0.016471692628588257,0.1,6.421000000045751,6.278200000451761
41.800000000000004,0.05089448648617443,0.015356143878975829,0.0023941238858493654,0.0004476786992846926,0.017276358602770818,0.1,6.103200001234654,5.9856999996554805
42.0,0.05425213816463399,0.018205473042445207,0.0024566173748241664,0.00027389782434622534,0.017824239039126333,0.1,6.459199999881093,6.34379999974044
42.2,0.058183796099960036,0.021102812481258948,0.0024914036235206987,0.00012775906529751552,0.01815433552896141,0.1,6.257900000491645,6.066600000849576
42.400000000000006,0.06269632553139845,0.024019717006516856,0.002502999948879249,6.1370617452372045e-06,0.018301758517114464,0.1,6.203900000400608,6.058699998902739
42.6,0.06779137955736868,0.026932639317256063,0.002495382954102173,-9.40861377517685e-05,0.018297445245175306,0.1,6.3408000005438225,6.208200000401121
42.800000000000004,0.07346631211590976,0.029822259723019946,0.0024720065890924724,-0.0001758273600468499,0.018168288776544323,0.1,6.389099999069003,6.252400000448688
43.0,0.07971496426145597,0.032672883731841754,0.0024358439198046244,-0.0002417222698107846,0.017937455885451786,0.1,6.503700000394019,6.363899999996647
43.2,0.08652833723985796,0.03547191037315247,0.002389437586221496,-0.0002941050845376575,0.017624775569739314,0.1,6.964999998672283,6.827100000009523
43.400000000000006,0.09389516598083841,0.03820936780903393,0.0023349512677157736,-0.00033501722784692184,0.017247135800011477,0.1,6.3746000014361925,6.229699998584692
43.6,0.10180240583702245,0.04087751083209345,0.0022742184499260215,-0.00036622983404637974,0.016818860846090158,0.1,6.449399999837624,6.314199999906123
43.800000000000004,0.11023564424548923,0.04347047362799348,0.002208786849794652,-0.00038927137628675876,0.016352055283364912,0.1,6.210300000020652,6.076900001062313
44.0,0.11917944769362353,0.04598397121201375,0.002139957991687648,-0.00040545602608895934,0.01585691065589534,0.1,6.675900000118418,6.531400000312715
44.2,0.12861765310669868,0.048415043351988096,0.002068821992925602,-0.0004159106080003708,0.015341975144512854,0.1,6.3188999993144535,6.156700001156423
44.400000000000006,0.1385336116007483,0.05076183536311421,0.001996287883048082,-0.00042159921436191877,0.014814388689850964,0.1,6.451100000049337,6.299399999988964
44.6,0.14891039148608853,0.05302341078161842,0.0019231098883489644,-0.0004233451772460428,0.014280086879552005,0.1,6.184700001540477,6.029199999829871
44.800000000000004,0.1597309464694674,0.05519959153056597,0.001849910137892178,-0.00042185041563497575,0.013743977115931156,0.1,6.451200000810786,6.313199999567587
45.0,0.1709782541812544,0.05729082175277249,0.0017771982308852447,-0.00041771232834615646,0.013210090462581656,0.1,6.366100000377628,6.1516999994637445
45.2,0.18263542943880778,0.05929805199144802,0.0017053880703487678,-0.00041143846562189876,0.012681712302484638,0.1,6.048499999451451,5.923000000620959
45.400000000000006,0.1946858160370612,0.06122264084691626,0.0016348123263320022,-0.00040345922781331173,0.012161494619806314,0.1,6.108699999458622,5.97609999931592
45.6,0.2071130603212669,0.06306627163012195,0.0015657348495751856,-0.00039413883171379727,0.011651552390854294,0.1,6.222300000445102,5.992099999275524
45.800000000000004,0.21990116933418946,0.06483088187532851,0.0014983613164606714,-0.00038378476652069227,0.011153546260040828,0.1,8.740199999010656,8.477600000333041
46.0,0.23303455593128997,0.06651860387076673,0.0014328483495988345,-0.0003726559388458166,0.010668753394308879,0.1,7.386299999780022,7.195000000137952
46.2,0.24649807291405415,0.06813171462237444,0.0013693113258500746,-0.000360969683128539,0.010198128157510613,0.1,6.659599999693455,6.507100000817445
46.400000000000006,0.2602770379361063,0.06967259388718793,0.0013078310549337014,-0.00034890779190910326,0.009742354024320433,0.1,6.3979999995353865,6.254699999772129
